"Make Id","Make Name","Model Id","Model Name","Trim Id","Trim Year","Trim Name","Trim Description","Trim Msrp","Trim Invoice","Trim Created","Trim Modified","Engine Id","Engine Type","Engine Fuel Type","Engine Cylinders","Engine Size","Engine Horsepower Hp","Engine Horsepower Rpm","Engine Torque Ft Lbs","Engine Torque Rpm","Engine Valves","Engine Valve Timing","Engine Cam Type","Engine Drive Type","Engine Transmission","Body Id","Body Type","Body Doors","Body Seats","Body Length","Body Width","Body Height","Body Wheel Base","Body Front Track","Body Rear Track","Body Ground Clearance","Body Cargo Capacity","Body Max Cargo Capacity","Body Curb Weight","Body Gross Weight","Body Max Payload","Body Max Towing Capacity","Mileage Id","Mileage Fuel Tank Capacity","Mileage Combined Mpg","Mileage Epa City Mpg","Mileage Epa Highway Mpg","Mileage Range City","Mileage Range Highway","Mileage Epa Combined Mpg Electric","Mileage Epa City Mpg Electric","Mileage Epa Highway Mpg Electric","Mileage Range Electric","Mileage Epa Kwh 100 Mi Electric","Mileage Epa Time To Charge Hr 240v Electric","Mileage Battery Capacity Electric"
1,Acura,2,MDX,6301,2020,SH-AWD,"SH-AWD 4dr SUV AWD w/Technology Package (3.5L 6cyl 9A)",51500,48332,"6/29/23, 8:59 PM","6/29/23, 8:59 PM",6301,gas,"premium unleaded (recommended)",V6,3.5,290,6200,267,4700,24,Variable,"Single overhead cam (SOHC)","all wheel drive","9-speed shiftable automatic",6301,SUV,5,7,196.2,77.7,67.4,111.0,,,7.3,15.0,68.4,4264,,,5000,6301,19.5,22,19,26,3705,5070,,,,,,,
1,Acura,2,MDX,6300,2020,SH-AWD,"SH-AWD 4dr SUV AWD (3.5L 6cyl 9A)",46500,43648,"6/29/23, 8:59 PM","6/29/23, 8:59 PM",6300,gas,"premium unleaded (recommended)",V6,3.5,290,6200,267,4700,24,Variable,"Single overhead cam (SOHC)","all wheel drive","9-speed shiftable automatic",6300,SUV,5,7,196.2,77.7,67.4,111.0,,,7.3,15.0,68.4,4239,,,5000,6300,19.5,22,19,26,3705,5070,,,,,,,
1,Acura,2,MDX,6305,2020,"SH-AWD A-Spec","SH-AWD A-Spec 4dr SUV AWD (3.5L 6cyl 9A)",55000,51612,"6/29/23, 8:59 PM","6/29/23, 8:59 PM",6305,gas,"premium unleaded (recommended)",V6,3.5,290,6200,267,4700,24,Variable,"Single overhead cam (SOHC)","all wheel drive","9-speed shiftable automatic",6305,SUV,5,7,196.2,77.7,67.4,111.0,,,7.3,15.0,68.4,4275,,,5000,6305,19.5,21,19,25,3705,4875,,,,,,,
1,Acura,2,MDX,6308,2020,"SH-AWD PMC Edition","SH-AWD PMC Edition 4dr SUV AWD (3.5L 6cyl 9A)",61750,57936,"6/29/23, 8:59 PM","6/29/23, 8:59 PM",6308,gas,"premium unleaded (recommended)",V6,3.5,290,6200,267,4700,24,Variable,"Single overhead cam (SOHC)","all wheel drive","9-speed shiftable automatic",6308,SUV,5,6,196.2,77.7,67.4,111.0,,,7.3,15.0,68.4,,,,5000,6308,19.5,22,19,26,3705,5070,,,,,,,
1,Acura,2,MDX,6306,2020,"Sport Hybrid SH-AWD","Sport Hybrid SH-AWD 4dr SUV AWD w/Technology Package (3.0L 6cyl gas/electric hybrid 7AM)",53000,49738,"6/29/23, 8:59 PM","6/29/23, 8:59 PM",6306,hybrid,"premium unleaded (recommended)",V6,3.0,321,6300,289,5000,24,Variable,"Single overhead cam (SOHC)","all wheel drive","7-speed automated manual",6306,SUV,5,7,196.2,77.7,67.4,111.0,,,7.3,15.0,68.4,4471,,,,6306,19.4,27,26,27,5044,5238,,,,,,,
1,Acura,2,MDX,6307,2020,"Sport Hybrid SH-AWD","Sport Hybrid SH-AWD 4dr SUV AWD w/Advance Package (3.0L 6cyl gas/electric hybrid 7AM)",59750,56062,"6/29/23, 8:59 PM","6/29/23, 8:59 PM",6307,hybrid,"premium unleaded (recommended)",V6,3.0,321,6300,289,5000,24,Variable,"Single overhead cam (SOHC)","all wheel drive","7-speed automated manual",6307,SUV,5,6,196.2,77.7,67.4,111.0,,,7.3,15.0,68.4,4486,,,,6307,19.4,27,26,27,5044,5238,,,,,,,
1,Acura,98,NSX,6309,2020,Base,"2dr Coupe AWD (3.5L 6cyl Turbo gas/electric hybrid 9AM)",157500,146251,"6/29/23, 8:59 PM","6/29/23, 8:59 PM",6309,hybrid,"premium unleaded (required)",V6,3.5,573,6500,476,2000,24,Variable,"Double overhead cam (DOHC)","all wheel drive","9-speed automated manual",6309,Coupe,2,2,176.0,73.3,47.8,103.5,,,3.7,4.4,4.4,3878,,,,6309,15.6,21,21,22,3276,3432,,,,,,,
1,Acura,99,RDX,6316,2020,A-Spec,"A-Spec 4dr SUV (2.0L 4cyl Turbo 10A)",44000,41763,"6/29/23, 8:59 PM","6/29/23, 8:59 PM",6316,gas,"premium unleaded (recommended)",I4,2.0,272,6500,280,1600,16,Variable,"Double overhead cam (DOHC)","front wheel drive","10-speed shiftable automatic",6316,SUV,5,5,186.7,74.8,65.7,108.3,,,,31.1,79.8,3821,,,1500,6316,17.1,24,22,27,3762,4617,,,,,,,
1,Acura,99,RDX,6312,2020,Base,"4dr SUV w/Advance Package (2.0L 4cyl Turbo 10A)",45900,43563,"6/29/23, 8:59 PM","6/29/23, 8:59 PM",6312,gas,"premium unleaded (recommended)",I4,2.0,272,6500,280,1600,16,Variable,"Double overhead cam (DOHC)","front wheel drive","10-speed shiftable automatic",6312,SUV,5,5,186.7,74.8,65.7,108.3,,,,31.1,79.8,3829,,,1500,6312,17.1,24,22,28,3762,4788,,,,,,,
1,Acura,99,RDX,6311,2020,Base,"4dr SUV w/Technology Package (2.0L 4cyl Turbo 10A)",41000,38921,"6/29/23, 8:59 PM","6/29/23, 8:59 PM",6311,gas,"premium unleaded (recommended)",I4,2.0,272,6500,280,1600,16,Variable,"Double overhead cam (DOHC)","front wheel drive","10-speed shiftable automatic",6311,SUV,5,5,186.7,74.8,65.7,108.3,,,,31.1,79.8,3790,,,1500,6311,17.1,24,22,28,3762,4788,,,,,,,
